Date,Symbol,Open,Close
2020-12-08,POWERGRID,194.0,191.6
2020-12-09,POWERGRID,192.9,192.7
2020-12-10,POWERGRID,193.0,192.75
2020-12-11,POWERGRID,194.0,193.1
2020-12-14,POWERGRID,196.0,194.3
2020-12-15,POWERGRID,194.4,192.8
2020-12-16,POWERGRID,194.7,196.2
2020-12-17,POWERGRID,193.3,193.3
2020-12-18,POWERGRID,193.3,193.9
2020-12-21,POWERGRID,193.0,185.5
2020-12-22,POWERGRID,185.45,190.3
2020-12-23,POWERGRID,191.5,189.95
2020-12-24,POWERGRID,190.25,190.0
2020-12-28,POWERGRID,190.2,191.55
2020-12-29,POWERGRID,191.6,189.7
2020-12-30,POWERGRID,190.0,190.2
2020-12-31,POWERGRID,190.5,189.85
2021-01-01,POWERGRID,189.0,189.5
2021-01-04,POWERGRID,190.0,188.45
2021-01-05,POWERGRID,189.5,188.0
2021-01-06,POWERGRID,188.0,196.15
2021-01-07,POWERGRID,198.0,197.05
2021-01-08,POWERGRID,198.75,203.55
2021-01-11,POWERGRID,204.0,203.55
2021-01-12,POWERGRID,201.05,203.7
2021-01-13,POWERGRID,203.8,205.0
2021-01-14,POWERGRID,205.95,205.1
2021-01-15,POWERGRID,203.95,203.0
2021-01-18,POWERGRID,201.25,195.75
2021-01-19,POWERGRID,195.55,199.65
2021-01-20,POWERGRID,200.0,196.15
2021-01-21,POWERGRID,196.45,195.15
2021-01-22,POWERGRID,195.0,194.2
2021-01-25,POWERGRID,194.45,190.2
2021-01-27,POWERGRID,190.0,192.35
2021-01-28,POWERGRID,190.95,187.3
2021-01-29,POWERGRID,188.7,184.45
2021-02-01,POWERGRID,184.45,188.9
2021-02-02,POWERGRID,191.0,194.2
2021-02-03,POWERGRID,194.5,206.5
2021-02-04,POWERGRID,206.5,205.35
2021-02-05,POWERGRID,205.65,207.1
2021-02-08,POWERGRID,206.5,212.55
2021-02-09,POWERGRID,210.0,210.75
2021-02-10,POWERGRID,210.55,210.45
2021-02-11,POWERGRID,208.85,213.75
2021-02-12,POWERGRID,219.0,212.65
2021-02-15,POWERGRID,214.0,212.45
2021-02-16,POWERGRID,213.4,225.55
2021-02-17,POWERGRID,225.5,230.05
2021-02-18,POWERGRID,231.0,236.5
2021-02-19,POWERGRID,233.5,232.2
2021-02-22,POWERGRID,232.45,224.95
2021-02-23,POWERGRID,225.75,226.1
2021-02-24,POWERGRID,226.15,222.75
2021-02-25,POWERGRID,223.7,227.55
2021-02-26,POWERGRID,221.5,214.3
2021-03-01,POWERGRID,217.5,227.25
2021-03-02,POWERGRID,229.0,225.05
2021-03-03,POWERGRID,230.0,227.5
2021-03-04,POWERGRID,223.05,225.15
2021-03-05,POWERGRID,226.0,220.25
2021-03-08,POWERGRID,217.85,220.15
2021-03-09,POWERGRID,220.5,216.0
2021-03-10,POWERGRID,218.0,215.15
2021-03-12,POWERGRID,215.7,220.05
2021-03-15,POWERGRID,221.0,224.15
2021-03-16,POWERGRID,225.15,224.45
2021-03-17,POWERGRID,224.95,220.45
2021-03-18,POWERGRID,221.0,221.05
2021-03-19,POWERGRID,221.9,230.2
2021-03-22,POWERGRID,234.4,223.55
2021-03-23,POWERGRID,223.55,219.0
2021-03-24,POWERGRID,217.05,221.05
2021-03-25,POWERGRID,221.05,216.4
2021-03-26,POWERGRID,219.35,214.6
2021-03-30,POWERGRID,216.9,221.35
2021-03-31,POWERGRID,219.9,215.65
2021-04-01,POWERGRID,216.65,218.7
2021-04-05,POWERGRID,215.2,214.15
2021-04-06,POWERGRID,215.2,209.2
2021-04-07,POWERGRID,210.9,210.55
2021-04-08,POWERGRID,211.95,209.0
2021-04-09,POWERGRID,209.4,208.3
2021-04-12,POWERGRID,206.65,201.15
2021-04-13,POWERGRID,205.15,208.75
2021-04-15,POWERGRID,207.9,207.8
2021-04-16,POWERGRID,207.5,209.85
2021-04-19,POWERGRID,205.85,201.2
2021-04-20,POWERGRID,205.0,203.7
2021-04-22,POWERGRID,204.0,203.45
2021-04-23,POWERGRID,204.3,211.15
2021-04-26,POWERGRID,208.2,215.8
2021-04-27,POWERGRID,216.05,216.65
2021-04-28,POWERGRID,218.8,220.9
2021-04-29,POWERGRID,223.1,220.15
2021-04-30,POWERGRID,217.75,220.05
2019-01-02,TATAMOTORS,170.6,168.55
2019-01-03,TATAMOTORS,169.0,166.05
2019-01-04,TATAMOTORS,169.0,170.95
2019-01-07,TATAMOTORS,173.2,175.35
2019-01-08,TATAMOTORS,176.1,179.95
2019-01-09,TATAMOTORS,181.5,183.05
2019-01-10,TATAMOTORS,183.65,185.75
2019-01-11,TATAMOTORS,186.55,180.3
2019-01-14,TATAMOTORS,180.3,182.4
2019-01-15,TATAMOTORS,183.3,185.35
2019-01-16,TATAMOTORS,186.0,185.45
2019-01-17,TATAMOTORS,186.0,184.9
2019-01-18,TATAMOTORS,185.65,183.3
2019-01-21,TATAMOTORS,184.3,181.5
2019-01-22,TATAMOTORS,181.5,180.85
2019-01-23,TATAMOTORS,181.7,180.25
2019-01-24,TATAMOTORS,180.0,175.4
2019-01-25,TATAMOTORS,175.95,173.25
2019-01-28,TATAMOTORS,173.3,172.3
2019-01-29,TATAMOTORS,172.35,173.6
2019-01-30,TATAMOTORS,174.3,174.6
2019-01-31,TATAMOTORS,175.8,181.2
2019-02-01,TATAMOTORS,182.0,181.65
2019-02-04,TATAMOTORS,181.0,180.25
2019-02-05,TATAMOTORS,180.7,175.8
2019-02-06,TATAMOTORS,176.0,178.5
2019-02-07,TATAMOTORS,179.0,182.85
2019-02-08,TATAMOTORS,164.6,150.7
2019-02-11,TATAMOTORS,150.15,152.65
2019-02-12,TATAMOTORS,152.95,151.8
